,作者,字数,小说名称,最新章节,类别,年份,月份,日
11,天秀弟子,596.18,超级灵药师系统,1783.成为仙帝，不是结束，是另外一个开始（全书完，and后记。）,「玄幻·东方玄幻」,2017,3,6
12,w风雪,594.62,洪荒造化,完本感言！,「仙侠·神话修真」,2016,4,7
13,西贝猫,594.53,召唤圣剑,后记写在完本之后,「游戏·游戏异界」,2015,4,20
14,如倾如诉,593.45,全方位幻想,完本感言,「科幻·时空穿梭」,2016,10,1
15,猷莫,593.44,贵族农民,第1619章新的传奇（大结局）,「现实·现实百态」,2015,2,12
16,蒜书,591.9,新风领地,第两千一百四十五章二十年 我们回家（大结局）,「玄幻·异世大陆」,2016,12,31
17,五十二策,591.38,都市俗医,新书《超级单兵》已经发布！,「都市·都市生活」,2014,2,15
18,田园如梦,590.76,田园大唐,田园大唐结束感言,「历史·两晋隋唐」,2013,7,15
19,闪烁,588.54,海魂,《海魂》完稿感言,「军事·军事战争」,2008,5,25
20,拾一,587.61,三国之仲谋天下,完本之感！,「历史·秦汉三国」,2017,8,2
21,新兵扛老枪,587.13,锻仙,新书预告,「仙侠·幻想修仙」,2015,10,28
22,青幕山,586.42,黑客,新书预告,「都市·都市生活」,2015,10,22
23,邪影,583.86,邪影本纪,圣战风云第二百一十九章大结局,「游戏·虚拟网游」,2015,11,15
24,晨光路西法,581.9,纨绔毒医,第一千一百九十五章永恒超脱,「都市·异术超能」,2016,6,14
25,碎影星沙,581.58,奥特曼战记,完本感言,「二次元·衍生同人」,2018,8,27
26,落花独立,580.88,无限之配角的逆袭,新书《无限气运主宰》推荐,「游戏·游戏异界」,2017,8,1
27,逆天而翔,577.02,狂神进化,完本感言！,「都市·异术超能」,2016,9,28
28,绯炎,573.54,琥珀之剑,新书《伊塔之柱》（通知，不用点进来）,「游戏·游戏异界」,2018,1,22
29,雁九,571.3,重生于康熙末年,小曹正文完结，新书《天官》发布，求推荐、收藏、点击,「历史·清史民国」,2013,2,2
30,木牛流猫,571.28,战神领主,新书《师父驾到》，求支持！,「游戏·游戏异界」,2017,2,6
31,三戒大师,570.48,官居一品,新书《一品江山》上传了，万事开头难，大家都去收藏、推荐啊！！！！！！,「历史·两宋元明」,2012,6,22
32,疯神狂想,563.06,都市藏真,第一千六百九十八章盛世华章,「都市·异术超能」,2016,12,6
33,晕血的羔羊,562.24,无限动漫录,完结感言,「科幻·时空穿梭」,2016,12,20
34,土疙瘩的爱情,561.38,真武荡魔传,土疙瘩新书擎天一棍已上线,「仙侠·修真文明」,2016,4,7
35,黑山老鬼,560.52,掠天记,新书《大劫主》发布啦，求票求收藏求关注！,「仙侠·幻想修仙」,2017,7,18
36,邪影,556.95,铸圣庭,新书《武道天下》，朋友们多多支持！,「游戏·游戏异界」,2015,11,18
37,恐怖的阿肥,548.68,吃鬼的男孩,全新力作《杀神永生》已上线,「灵异·恐怖惊悚」,2016,12,5
38,试剑天涯,548.06,仙域科技霸主,完本感言；新书：修真大工业时代,「仙侠·修真文明」,2018,9,3
39,猛虎道长,547.67,恐怖都市,第1779章、大结局！,「科幻·进化变异」,2017,8,9
40,临河羡鱼翁,546.93,王朝教父,第1394章时代的教父（完结）,「体育·篮球运动」,2014,9,15
41,宅猪,542.44,帝尊,番外篇，宣无邪传（下）,「仙侠·幻想修仙」,2015,3,29
42,榴弹怕水,541.76,韩娱之影帝,新书上传，《覆汉》，求支持（不要订阅）,「都市·都市生活」,2018,2,13
43,相思洗红豆,541.65,英雄信条,新书《酋长别打脸》发布，请大家移步鉴赏！,「玄幻·异世大陆」,2016,11,14
44,残夜墨染,541,最强神道,第八百七十五章至尊神（终）,「玄幻·东方玄幻」,2015,3,25
45,蝴蝶蓝,535.02,全职高手,最后一次上传，完本感言。,「游戏·虚拟网游」,2014,4,30
46,实心熊,534.36,征服天国,第六卷命运之诗第二百八十章命运之诗,「历史·架空历史」,2017,4,7
47,隐为者,532.37,网游之天地,终结章：天地，永无尽头,「游戏·电子竞技」,2008,10,9
48,要离刺荆轲,532.25,我要做皇帝,后记,「历史·秦汉三国」,2017,7,10
49,就是芦苇,531.97,超级乐神,第一千六百八十一章百年时光（大结局）,「都市·都市生活」,2017,6,15
0,精分三代,530.72,非正常人类异闻录,新书《异宝秘藏》已上传，请各位新老客户支持~,「灵异·寻墓探险」,2018,7,2
1,黑色火种,528.31,地狱电影院,完本感言,「灵异·恐怖惊悚」,2018,3,29
2,九悟,528.12,重生之世家子弟,番外更新和新书说明--奋斗在红楼,「都市·都市生活」,2016,6,27
3,圆圆的熊,527.51,英雄命运,完本感言,「游戏·游戏异界」,2014,7,19
4,陌紫阳,527.13,蜀山大掌教,完本感言（1308章大结局）,「游戏·虚拟网游」,2016,10,27
5,天蚕土豆,526.09,斗破苍穹,新书大主宰已发。,「玄幻·异世大陆」,2013,7,3
6,霞飞双颊,525.92,召唤万岁,第一千三百九十九章：【师父，等等我！】（大结局）,「玄幻·异世大陆」,2014,9,9
7,野山黑猪,525.3,神级反派,关于老猪的新书主角猎杀者。,「科幻·时空穿梭」,2015,11,10
8,远瞳,524.65,异常生物见闻录,新书《黎明之剑》已经发布,「科幻·时空穿梭」,2018,4,20
