,作者,字数,小说名称,最新章节,类别,年份,月份,日
2,离火加农炮,163.08,重生之超级游戏大亨,完本感言,「都市·都市生活」,2015,3,18
3,周星,162.95,全职领主,完本感言,「奇幻·史诗奇幻」,2011,5,31
4,斩月,162.92,时空酒馆,第775章突破【大结局】,「科幻·时空穿梭」,2018,3,13
5,常书欣,162.86,超级大忽悠,写在完本之后的话,「现实·现实百态」,2013,4,27
6,且看昨日风华,162.79,日月宏图,完本感言,「历史·两宋元明」,2018,8,10
7,宅门妖孽,162.79,无敌铁骑士,第三八百十四章大结局,「玄幻·东方玄幻」,2010,12,28
8,渡木桥,162.78,重生之歌坛传奇,完本感言,「都市·都市生活」,2015,6,9
9,暗青,162.75,陨落星辰,大结局（谢谢！）,「玄幻·异世大陆」,2014,8,5
10,寡人未婚,162.64,全球论战,完本感言,「游戏·虚拟网游」,2014,3,10
11,贰加壹,162.57,神魔百变,完本感言,「玄幻·异世大陆」,2017,3,2
12,狐狸楠,162.51,全娱天王,完本感言,「都市·异术超能」,2014,10,16
13,三阳天,162.5,绝对武者,新书发了,「玄幻·异世大陆」,2018,1,2
14,驾雾,162.5,混在美国当土豪,新书《科技主宰》、求支持,「都市·都市生活」,2015,3,2
15,龙门笑笑生,162.43,男神高小冷,新书《微旅行餐厅》发布,「都市·都市生活」,2018,5,2
16,木汤,162.42,机甲农民,后记,「科幻·古武机甲」,2009,6,30
17,崔走召,162.34,我当鸟人的那几年,终章我当鸟人的那几年,「灵异·寻墓探险」,2011,9,30
18,鹅蛋不会飞,162.3,穿越在古罗马帝国,66.罗马之帝,「历史·外国历史」,2017,12,4
19,太极双泥,162.19,娱乐之逆袭,第536章传奇（大结局）,「都市·娱乐明星」,2013,10,5
20,马一角,162.18,极品镜仙,结束感言及新书消息！,「仙侠·幻想修仙」,2014,7,23
21,蛐蛐不是蝈蝈,162.17,都市之极品玩家,第五百六十九章大结局,「都市·异术超能」,2015,7,16
22,塞上孤客,162.15,不想当天帝,第795章完结,「仙侠·修真文明」,2018,9,4
23,烛,162.13,唐朝小地主,写在完结后面的话,「历史·两晋隋唐」,2015,6,11
24,紫薇星主,162.1,随身带着洞天仙境,第502章结局，尾声,「仙侠·现代修真」,2017,10,10
25,石慌,162.04,科技巨头,【完本感言和关于新书】,「科幻·超级科技」,2016,11,28
26,拜将,162.01,六界事务所,新书《都市之我为宗师》已经发布！,「都市·异术超能」,2017,10,16
27,历二十三,161.99,网游之圣光降临,第一百三十九章完本感言,「游戏·虚拟网游」,2017,4,1
28,小哈利,161.98,哈利波特之超级法神,第795章伏地魔之死,「奇幻·现代魔法」,2017,3,20
29,狂人阿Q,161.96,回到明末当军阀,第五百零四节华夏会盟,「历史·两宋元明」,2015,12,5
30,小艾神,161.95,重生之中锋荣光,完本感言——致那些陪伴过荣光的人,「体育·篮球运动」,2014,3,21
31,孤独漂流,161.86,重生之骷髅人生,第七卷　第二百四十三章一曲逍遥游（大结局）,「灵异·恐怖惊悚」,2009,1,12
32,八臂书生,161.85,网游重生之千面郎君,完结感言（明天新书上传）,「游戏·虚拟网游」,2017,10,31
33,grape69,161.75,九脉修神,N章：新书《无限之修真小人物》上传,「仙侠·修真文明」,2016,3,27
34,白衫盛雪,161.74,金刚法神,【完本感言】,「玄幻·异世大陆」,2012,4,23
35,爱打斗地主,161.73,都市之超级文明,完结感言,「都市·异术超能」,2014,12,9
36,林小政,161.71,剑与地下城,第七百七十章：最终章,「奇幻·剑与魔法」,2018,8,6
37,东海猪妖,161.7,黑科技垄断公司,老猪新书：《科技邪神》,「科幻·超级科技」,2017,7,1
38,上弦月下花,161.67,追求永生的旅人,第五十六章后记二（本书完结）,「科幻·时空穿梭」,2016,9,1
39,charlesp,161.66,星之海洋,修订版第二十卷 宛若天堂TheFinalEnd：宛若天堂（下）,「科幻·星际文明」,2017,1,26
40,流浪的龙,161.56,天才,第五百三十七章原来如此（大结局）,「仙侠·现代修真」,2009,10,13
41,神游小胖,161.46,传承铸造师,第二百九十三章大结局,「奇幻·史诗奇幻」,2018,2,5
42,风中的失落,161.41,南宋之我主沉浮,第五百二十二章狂飚（尾声）,「历史·两宋元明」,2017,4,17
43,跳舞,161.36,天王,【新书《天骄无双》已经开始！】,「都市·异术超能」,2009,12,29
44,十二翼黑暗炽天使,161.34,神品道圣,完本感言,「玄幻·东方玄幻」,2016,12,21
45,隔壁老王01,161.32,君临诸天,第021章：超脱之境（大结局）,「科幻·时空穿梭」,2017,8,1
46,午木丰,161.26,仙河长路,第五百三十章终章,「玄幻·异世大陆」,2017,6,19
47,罡风,161.2,系统给错的穿越者,第三十二章-传火,「游戏·游戏异界」,2017,4,30
48,庄不周,161.19,楚,告书友书（代完本感言）,「历史·秦汉三国」,2015,6,3
49,磨砚少年,161.15,云巅牧场,完结感言,「都市·都市生活」,2017,8,24
0,华丽的虚伪,161.04,红警之超时空兵团,完本感言,「科幻·时空穿梭」,2018,4,28
1,啪啪桑,160.94,萌军机娘,ACT535：新世界（大结局）,「科幻·时空穿梭」,2013,6,2
2,断桥残雪,160.94,修真老师生活录,关于结局,「都市·异术超能」,2015,1,27
3,牧三河,160.94,传奇大老板,完结感言,「都市·异术超能」,2018,2,26
4,糖醋荷包蛋,160.86,网游之剑魔独孤,第608章大结局：新纪元时代（下）,「游戏·虚拟网游」,2014,1,9
5,因杨生柳,160.76,命运游戏之圣昊,老杨开了新坑，欢迎各位书友朋友前去品鉴,「游戏·虚拟网游」,2017,11,30
6,白马神,160.74,重生之食遍天下,第六十九章终章：狂食会时发生的结束与初恋的回归,「现实·现实百态」,2012,12,3
7,雪落君,160.73,万界圣师,新书《宿主请留步》已上传,「科幻·时空穿梭」,2017,10,10
8,汉胄,160.72,三国之荆州我做主,第五百零八章泱泱华夏（大结局）,「历史·秦汉三国」,2015,8,10
9,小舟立帆,160.68,最强后勤,完结感言,「军事·战争幻想」,2018,6,26
10,夏言冰,160.62,升迁之路,第一千一百九十五章两边都惹不起,「都市·官场沉浮」,2013,6,14
11,步枪打蚊子,160.6,抗战之无双战神,第三五一章二战结束（完）,「军事·抗战烽火」,2017,11,29
12,干越箫声,160.58,回天决,我的新书《法眼至尊》已上传。,「历史·架空历史」,2016,12,14
13,柠檬去,160.57,末世兑换高手,第588章乌托邦（大结局）,「科幻·末世危机」,2013,5,13
14,王道一,160.51,我的超神空间,番外圣界篇第一章阵营？,「科幻·时空穿梭」,2016,6,2
15,明天修道,160.37,洪荒之明玉,完本结语,「仙侠·修真文明」,2011,4,29
16,轻舟煮酒,160.34,超智慧进化,第706章大结局（终）,「玄幻·高武世界」,2018,7,10
17,妒风流,160.28,踏破虚空,第339章六道踏天阶,「游戏·虚拟网游」,2013,5,11
18,夏闰羊,160.26,奸臣世家,最终章,「历史·两宋元明」,2018,2,28
19,单纯宅男,160.22,土豪系统,完本感言,「都市·都市生活」,2015,5,26
20,韦小宝,160.19,警备区,第五百三十章尾声,「都市·异术超能」,2009,10,20
21,庚新,160.14,宋时行,新书《悍戚》开始上传，13年，新开始！,「历史·两宋元明」,2013,6,5
22,神叹,160.11,奥特：只想守护你,说一下,「二次元·衍生同人」,2018,2,24
23,小子无胆,160.07,国术凶猛,又一个开始！,「武侠·国术无双」,2011,1,31
24,花十八朵,160.06,文艺圈枭雄,新书《神级模仿大天王》最新章节,「都市·都市生活」,2016,2,1
25,言叶庭,160.02,二次元国度,第六百四十八章大结局（下）,「二次元·青春日常」,2018,3,14
26,高铁,160.02,傲视天地,第五百四十一章大结局,「玄幻·异世大陆」,2012,1,10
27,武争,160.01,超品鉴宝,后记，新书人品科技系统见,「都市·都市生活」,2016,1,4
28,鬼谷仙师,159.97,乐尊,完本感言！,「玄幻·东方玄幻」,2015,4,9
29,马上将军,159.97,都市神话,最混乱的完本感言，或许应该是感慨。,「都市·都市生活」,2011,12,11
30,帽子V5,159.96,末世超级英雄系统,新书《都市之重返人间》,「科幻·末世危机」,2016,5,3
31,一枚烂芒果,159.94,我的韩国前女友们,完结感言！！！,「都市·都市生活」,2017,7,3
32,不开心的橘子,159.94,逆袭水浒传,第枠五章传位退隐须智愚缘尽登仙得羽化,「历史·两宋元明」,2017,8,30
33,水煮江山,159.88,门阀风流,第四百三十三章曲尽琴在,「历史·两晋隋唐」,2016,11,8
34,苦艾酒,159.81,英雄无敌之最强驯兽师,第四百六十六章：穿越（结局）,「游戏·虚拟网游」,2009,4,15
35,边城 浪子,159.75,王朝之剑,第五百二十四章江湖再会（大结局）,「游戏·虚拟网游」,2013,2,5
36,曲封,159.67,重活之漫漫人生路,第636章强力反击,「都市·都市生活」,2010,6,13
37,迪诺哥,159.63,武灵星君,完本感言,「玄幻·异世大陆」,2015,9,7
38,坚持的巨蟹,159.62,超级古武系统,完本感言！,「玄幻·异世大陆」,2013,5,20
39,快没时间了1,159.55,篮球之天赋系统,后记大结局，也是新的开始,「体育·篮球运动」,2018,7,11
40,邙诂,159.39,无上超脑系统科技,第412章惹不起就躲,「都市·都市生活」,2018,6,15
41,青幕山,159.39,超级灵泉,【完本感言】,「都市·都市生活」,2016,4,6
42,王少少,159.35,饲主,第500章大结局,「都市·异术超能」,2014,7,30
43,何常在,159.24,人间仙路,第七卷 天净沙第一百零三章仙路何处（大结局),「仙侠·修真文明」,2009,12,31
44,伯爵与妖精,159.21,异世召唤英雄,第零零一章身化天道,「玄幻·王朝争霸」,2018,1,18
45,弹指一笑间,159.13,最强恐怖系统,一笑新书恐慌世界发布,「灵异·灵异鬼怪」,2018,1,18
46,百万萝莉控,159.11,大魔女笔记,新书通告！！！！,「奇幻·现代魔法」,2015,8,3
47,沉默不是低调,159.09,网游之沉默的羔羊,第四百七十六章那一年（大结局）,「游戏·虚拟网游」,2014,7,13
48,虫梦,159.07,寇道,第一百四十六章圣人不死 大盗不止（下）（完结+感言）,「仙侠·古典仙侠」,2018,5,29
49,红金,159.02,金牌江湖,第四百九十章笑傲江湖(结束篇）,「武侠·传统武侠」,2014,12,31
0,肥肉老鼠,158.9,在美利坚的田园生活,535家 （大结局）,「都市·都市生活」,2017,10,9
1,叶家十二,158.79,带着帝国系统回三国,第五九一章：以身定计，天下太平（大结局）,「历史·秦汉三国」,2016,2,26
2,桃花老张,158.77,美女邻居,写在最后（对结局的说明）,「现实·爱情婚姻」,2008,9,9
3,天灵王,158.69,从最强，开始,NO.250最终之幕（37）,「二次元·原生幻想」,2018,7,11
4,不是浮云,158.64,网游植物师,网游新书《重生之我是BOSS》,「游戏·虚拟网游」,2012,11,16
5,深海孔雀,158.59,我家后院是异界,结尾,「都市·异术超能」,2014,4,30
6,曾鄫,158.57,帝国的荣耀,第三百四十章尾声,「历史·两宋元明」,2014,8,19
7,刀锋饮喋,158.51,魔法高材生,新书《一步偷天》已发布，求各位书友支持！,「奇幻·剑与魔法」,2017,7,19
8,网络黑侠,158.49,网游之魔法纪元,大结局第542章大结局,「游戏·虚拟网游」,2008,12,31
9,离人横川,158.46,上天台,完本感言,「仙侠·幻想修仙」,2013,8,9
10,行走的驴,158.44,爱疯娱乐人生,第三百六十八章幸福的人生（终章）,「都市·都市生活」,2017,12,22
11,可笑书仙,158.41,一书封神,第112章万古洪荒（大结局）,「玄幻·东方玄幻」,2015,8,5
12,召弓,158.39,木叶之实力至上,新书《SCP打工仔》,「二次元·衍生同人」,2018,9,3
13,可乐不乐,158.35,终极大进化,完本感言：芽成长，树参天，此为起点,「科幻·末世危机」,2013,9,5
14,尹昭,158.31,飞刀是怎样炼成的,第654章:大结局,「武侠·武侠幻想」,2016,11,1
15,沐日海洋,158.3,与病毒同行,第54章魔卡诞生,「科幻·末世危机」,2016,1,23
16,我是小富翁,158.29,超级符文文明,新书发布~,「玄幻·东方玄幻」,2017,3,1
17,蓝剑侠,158.22,星际神化,完本感言,「科幻·星际文明」,2016,3,15
18,大飞艇,158.2,最终猎杀,《幻想娱乐帝国》！新书已发！,「科幻·未来世界」,2018,7,6
19,无火的余灰,158.2,罪域的骨终为王,新书《拜见校长大人》,「二次元·原生幻想」,2018,3,29
20,冰原三雅,158.16,时空天书,大结局,「科幻·未来世界」,2017,12,4
21,何未满,158.16,烂片之王,新书《我不是天王》已上传,「都市·都市生活」,2017,6,28
22,墨悲尘,158.16,大魔猿,第七二七章是墨霖，也是魏陵,「仙侠·幻想修仙」,2017,9,12
23,武家大狼,158.14,海贼王之我有英雄联盟,第七百零四章一波未平,「二次元·衍生同人」,2017,9,29
24,银羽月光,158.11,勇者名叫恶龙,完结感言+新书《古帝今皇》（有公众章节）,「奇幻·剑与魔法」,2016,8,23
25,祈求者哀鸣,158.09,奥术主宰,第六百五十一章提要,「游戏·游戏异界」,2016,6,1
26,夜南听风,158.08,神级剑魂系统,新书《海贼之天赋系统》已发布~,「二次元·衍生同人」,2017,12,4
27,燃烧的凰,158.04,异界之兽行,最后一哆嗦,「玄幻·异世大陆」,2013,5,2
28,历二十三,157.99,网游之不灭黄泉,第二百零九章完本感言,「游戏·虚拟网游」,2018,2,1
29,天尊王者,157.99,沧澜剑神,第778章,「仙侠·修真文明」,2017,3,14
30,牙齿,157.98,苍白之手,第五百五十九章世界那么大，我想去走走,「奇幻·黑暗幻想」,2017,9,27
31,绅士的哲学,157.88,我的母亲是妖怪贤者,完结感言,「二次元·衍生同人」,2017,11,7
32,绅士东,157.82,食戟之冒牌小当家,大结局+后记,「二次元·衍生同人」,2017,3,22
33,虫草田十,157.77,苏联教父,第二百九十六章新的联盟（大结局）,「历史·外国历史」,2017,10,16
34,单纯宅男,157.67,混在异界的骨灰级玩家,完本感言,「游戏·游戏异界」,2013,6,22
35,兔唇追风筝,157.63,火影之榊树,新书预告,「二次元·衍生同人」,2017,11,30
36,zhttty,157.63,死亡开端,第十六集：我们是主角！第八章：大结局！世界来临前的终结（完）,「玄幻·东方玄幻」,2011,9,30
37,微笑大师,157.61,玄帝归来,完本感言,「都市·异术超能」,2018,7,23
38,三少的刀,157.61,星际农民,第452章传承(终章),「科幻·超级科技」,2009,1,23
39,无心论道,157.46,刀纵天穹,完本感言,「玄幻·东方玄幻」,2015,4,21
40,电名,157.45,物限,第610章物质限制（大结局）,「仙侠·修真文明」,2015,6,19
41,不如安静,157.44,神级演技派,第三百五十四章踏实了（终）,「都市·都市生活」,2015,8,13
42,李色佛,157.38,洪荒玄松道,《洪荒玄松道》后记（公共章节有发）,「仙侠·神话修真」,2010,6,28
43,汉风雄烈,157.34,盛世中华,完本总结,「历史·清史民国」,2014,10,28
44,随心随性随喜,157.34,天之轨迹,完本感言！,「科幻·时空穿梭」,2016,7,22
45,陈家三郎,157.31,超人类进化,完结感言,「都市·异术超能」,2017,9,13
46,今晚打酱油,157.2,玄界兽神,写在后面的话,「玄幻·异世大陆」,2018,6,23
47,韭菜德芙包,157.04,末世之狂法,691终章：源点,「科幻·末世危机」,2017,9,29
48,奘郁,156.97,亡而复生,3清明祭完结,「灵异·寻墓探险」,2018,5,9
49,典玄,156.96,咆哮星际,第388章大结局,「玄幻·东方玄幻」,2015,2,2
0,瓶子蟹,156.93,洪荒帝经,第七百零九章大结局,「玄幻·异世大陆」,2017,11,7
1,东篱秋,156.9,再造混元,新书《最强慈善系统》已发布，求支持,「仙侠·神话修真」,2017,11,2
2,贼眉鼠眼,156.83,大明王侯,完本感言,「历史·两宋元明」,2011,10,31
3,惜花怜月,156.78,重生之民以食为天,第二百零五章太子出宫（大结局）,「历史·架空历史」,2009,6,30
4,归七,156.78,猎杀鬼子兵,后记（此章免费）,「军事·抗战烽火」,2015,9,11
5,吴仲达,156.77,我不是汉献帝,第三百一十九章尾声,「历史·秦汉三国」,2018,3,1
6,故土难离,156.66,铁血铸新明,第六百七十节天下之大，皆是汉土,「历史·两宋元明」,2018,8,21
7,寻雾者,156.62,在仙界当漫画家,新书：《主角开始抱团啦》,「仙侠·幻想修仙」,2018,5,29
8,白王上朝,156.47,文豪娱乐家,五百二十三章大文豪，大娱乐家！（完结）,「科幻·未来世界」,2017,2,20
9,闷墩儿,156.46,次元聊天群,608默默做一位小跟班就好,「科幻·时空穿梭」,2017,6,14
10,闪烁,156.38,最强军火之王,第763章大结局,「军事·军事战争」,2018,3,1
11,紫楼,156.31,蛊魔,新书《无上道君》发布！,「仙侠·幻想修仙」,2011,11,1
12,鹅是老五,156.31,纨绔疯子,这不是结局,「都市·异术超能」,2011,10,19
13,湘南明月,156.22,农家仙泉,第四百九十一章双喜临门（大结局）,「都市·都市生活」,2017,6,8
14,上弦月下花,156.21,漫步世界的旅人,第四百八十五章曲终人亦散,「科幻·时空穿梭」,2018,6,14
15,穷四,156.2,灵葫空间,第七百五十六章灭杀首领,「都市·异术超能」,2015,2,4
16,圣之语,156.13,英雄联盟之传奇强者,第六百四十四章离开,「游戏·电子竞技」,2017,12,5
17,半仙算命,156.12,美利坚怪侠,第四百八十六章漫天霞光（大结局）,「都市·都市生活」,2017,1,3
18,豆子惹的祸,156.1,小仙有毒,第一一七章祥瑞（大结局）,「仙侠·现代修真」,2010,2,25
19,徐公子胜治,156.09,人欲,284、仙踪飞尽羽衣飘（大结局）,「玄幻·东方玄幻」,2008,7,29
20,蝴蝶蓝,156.07,独闯天涯,最终章结束也是开始（下）,「游戏·虚拟网游」,2006,10,30
21,一语破春风,155.98,厂公,新书已发布《白狼公孙》,「武侠·武侠幻想」,2017,8,15
22,高架红绿灯,155.98,捡漏,第611章洞房,「都市·都市生活」,2015,1,16
23,魔勇者,155.96,穿越为魔王的勇者,第479章大结局（感谢支持）,「奇幻·剑与魔法」,2017,4,7
24,爱开大差,155.93,英雄联盟之胜者无双,推荐朋友的书，友情推荐。,「游戏·电子竞技」,2017,3,23
25,天赐三郎,155.79,末日之宠物小精灵,第五百零九章宅之信仰,「科幻·末世危机」,2016,7,4
26,一梦已成神,155.72,大杀戮系统,新书《最强大武道系统》,「武侠·武侠幻想」,2018,2,5
27,普州人氏,155.61,穿越三国之领主传奇,完本感言,「游戏·游戏异界」,2018,3,22
28,会说话的肘子,155.6,我是大玩家,新书已发布,「都市·异术超能」,2017,8,18
29,睿士,155.55,烈明,第七十七章大结局,「历史·两宋元明」,2015,12,28
30,懒狮子,155.53,星群,懒狮子的新书发布~,「科幻·未来世界」,2017,1,13
31,三步杀,155.53,网游之神王天图,第四四章过去（完）,「游戏·虚拟网游」,2018,5,31
32,冷得像风,155.52,面食世家,第七百二十二章：一往无前（大结局）,「都市·都市生活」,2018,9,5
33,迷途陌客,155.51,哥谭神探,第七百零六章尾声（完结）,「科幻·时空穿梭」,2017,2,7
34,允人,155.51,惑乱红楼,第四百八十三章完结（后会有期，江湖再见！）,「历史·架空历史」,2018,2,18
35,春晓未成眠,155.49,一柒当乾,终章平凡不觉苦，白首永相携,「玄幻·东方玄幻」,2018,3,15
36,三寸法师,155.48,极品全能天师,完本感言之我的新书《校长姐姐是高手》,「都市·异术超能」,2013,8,28
37,会说话的肘子,155.46,英雄联盟之灾变时代,已发布番外1,「游戏·游戏异界」,2017,1,10
38,二次元白菜,155.39,二次元王座,完结感言,「科幻·时空穿梭」,2017,6,20
39,明月子时,155.35,东京神秘事件簿,第五百四十四章合影（大结局）,「二次元·青春日常」,2018,5,24
40,傲无常,155.32,老婆爱上我,老傲都市类新作：花都十二钗求支持,「都市·都市生活」,2015,9,10
41,芍药花,155.24,神探怪侠,606章最后的结局,「武侠·武侠幻想」,2017,2,21
42,一念乱天机,155.16,征服权能,结尾总结及新书,「科幻·时空穿梭」,2014,11,2
43,话千秋,155.14,隋唐大魔王,第三百三十六章扬帆起航,「历史·架空历史」,2017,11,1
44,背着家的蜗牛,155.09,天庭农庄,第六百七十四章终结之战大结局（下）,「仙侠·现代修真」,2016,6,12
45,耳火大帝,155.06,bug之神,额，经过群书友提醒，还是发个新书单张，超武文娱！,「科幻·时空穿梭」,2016,7,12
46,柳下西门,155.06,网游之暴牙野猪王,完本感言（免费）,「游戏·虚拟网游」,2014,9,16
47,水刀伐木,155.01,大明最后一个进士,450大结局，美好的期盼,「历史·两宋元明」,2016,11,8
48,大肥兔,154.95,黄金法眼,第500章人生如梦（完美大结局）,「都市·异术超能」,2013,10,22
49,度方,154.91,汉末战骑狂潮,不知道该说什么,「历史·架空历史」,2015,12,20
0,小道,154.83,左手仙缘,第十四册第八十六章告别人界（完）,「玄幻·东方玄幻」,2006,8,21
1,随波逐流,154.82,随波逐流之一代军师,清梵曲,「历史·架空历史」,2006,10,8
2,醉卧笑伊人,154.78,变身女学霸,新书《大文学家》已经上传！,「二次元·变身入替」,2015,11,3
3,星点烽火,154.72,永恒神纹,第六百七十三章我来自地球（结局篇）,「玄幻·东方玄幻」,2018,2,8
4,泛辰,154.72,符缘仙帝,第五百二十六章大道之死,「仙侠·修真文明」,2018,1,2
5,吴纯纯,154.7,有我无敌,465第四百六十五章全民投票，救？或不救？【完结】,「玄幻·东方玄幻」,2018,2,8
6,二十六点,154.68,云图仙道,第六百四十九章飞升仙界（大结局）,「玄幻·异世大陆」,2017,2,23
7,水木四,154.6,五胡乱华之绝世雄才,第749章大结局,「历史·两晋隋唐」,2017,5,9
8,华山近,154.56,万国兵简,第74章结束？开始！,「玄幻·异世大陆」,2015,5,26
9,小小千佛山,154.56,汉末高顺,第655章大结局,「历史·秦汉三国」,2018,7,2
10,月关,154.55,大争之世,第294章大结局,「历史·上古先秦」,2009,8,25
11,日落知阳,154.53,三清原之无极生太极,第四百九十九章大结局,「仙侠·修真文明」,2017,7,11
12,大口吃馍,154.52,一道升仙,推荐一本新书《史上最牛小强》,「仙侠·幻想修仙」,2017,11,14
13,静夜寄思,154.52,丹警,新书《吞天》已经上传！,「仙侠·现代修真」,2011,9,2
14,传说中的馋虫,154.5,阿斗,第一四二章大结局,「历史·秦汉三国」,2016,2,19
15,银霜骑士,154.46,极道骑士,新书,「奇幻·剑与魔法」,2018,8,14
16,七七家d猫猫,154.45,娱乐就在身边,第四百八十八章回家（大结局）,「都市·娱乐明星」,2010,4,1
17,混吃等死,154.43,蜀汉的复兴,完本感言,「历史·秦汉三国」,2018,8,20
18,曾鄫,154.39,华夏立国传,新书公告,「历史·两晋隋唐」,2014,8,19
19,观棋,154.38,御道,第一百二十五章盘古（大结局）,「玄幻·东方玄幻」,2010,1,29
20,秋暮青云,154.31,普通高中生,第二十一章警告,「二次元·原生幻想」,2018,8,7
21,微笑向暖02,154.28,随身领取升级礼包,完本感言,「玄幻·东方玄幻」,2014,4,8
22,失落之节操君,154.25,面具的肖像画,四十三该隐又再一次重生,「都市·异术超能」,2015,7,22
23,我吃西红柿,154.23,星峰传说,《星峰传说》完本免费看啦！,「仙侠·幻想修仙」,2015,9,24
24,罪恶倾城,154.22,以罪为名,第六百二十一章不正经的完本感言,「灵异·悬疑侦探」,2016,10,8
25,济源张氏,154.2,覆唐,闲言碎语,「历史·两晋隋唐」,2010,6,30
26,执业兽医,154.2,暗面传承,第九十八章识海池塘下孤廖的红中,「玄幻·东方玄幻」,2013,9,4
27,柳下西门,154.19,我妖重新做人,这真的是一篇正规的感言和新书通知,「二次元·原生幻想」,2017,8,29
28,点滴水,154.14,八大仙地,0386章大帝归来,「仙侠·幻想修仙」,2017,12,5
29,十个莲蓬,154.13,全职业训练师,完本感言,「都市·商战职场」,2018,7,2
30,心随笔录,154.06,异界纵横之英雄幻想,第五四八章胜利微笑（终章）,「奇幻·剑与魔法」,2017,4,10
31,寂静清水,154.03,无限之位面勘探,完本感言,「都市·异术超能」,2017,8,22
32,追雪逍遥01,153.96,满城尽是黄巾军,第六百六十六章，大结局,「历史·秦汉三国」,2015,3,7
33,星天萤火,153.9,圣兽界,最终章：天宗，卫庭，天外天……故乡,「玄幻·东方玄幻」,2013,9,2
34,云上老白,153.82,我的山河空间,新书《随身水灵珠之悠闲乡村》上传,「都市·都市生活」,2016,12,20
35,陛下圣安,153.82,梦境世界大具现,番外,「科幻·时空穿梭」,2018,1,18
36,隔壁小王,153.74,战医归来,第八卷第七十三章回归本行,「都市·都市生活」,2010,3,2
37,宅家的聪,153.7,闪电侠之闪电骑士,第684章结束,「二次元·衍生同人」,2018,2,1
38,吴半仙,153.69,都是地府惹的祸,完本感应，都来看看吧,「灵异·灵异鬼怪」,2014,12,11
39,雨水,153.66,重建文明,第三百二十一章终章（大结局）,「科幻·末世危机」,2010,1,26
40,天蓬大猪,153.66,黑袍剑神,693.举世无敌（大结局）,「武侠·武侠幻想」,2018,6,8
41,安治森,153.6,乾坤客栈,故事总结,「灵异·悬疑侦探」,2018,2,22
42,十三东甬力,153.54,异界之逆天超市,第六百五十章：完本感言,「玄幻·异世大陆」,2014,2,8
43,愚洋,153.45,超神魂术师,第六百四十九章混沌真神（大结局）,「奇幻·剑与魔法」,2018,6,21
44,路灯下的亡灵,153.44,异界之谋天恶人,第595章结局,「玄幻·异世大陆」,2017,4,24
45,踏月留芳,153.42,新白娘子直播间,第七百三十七章大结局天地英雄诞生,「仙侠·神话修真」,2018,4,13
46,云天空,153.4,X一龙时代,大结局,「玄幻·异世大陆」,2010,3,26
47,李白不白,153.4,重生之小说巨匠,后记,「都市·都市生活」,2015,3,5
48,1大智1,153.38,电影世界的魔法学院,美漫全新纪元,「科幻·时空穿梭」,2018,8,8
49,正气蛋,153.37,七海霸主,第116话战神永生（大结局）,「游戏·游戏异界」,2015,1,27
0,八宝饭,153.35,大唐新秩序,第一百四十二章国器（四）,「历史·两晋隋唐」,2014,11,14
1,安静的蜗牛,153.3,重生之惬意青春,第772章快乐就好,「都市·青春校园」,2018,7,2
2,罗大王,153.29,有酒有剑有佳人,第五百七十八章酱牛肉二斤！（大结局）,「武侠·武侠幻想」,2018,8,2
3,终级BOSS飞,153.22,无限归来之悠闲人生,第四百九十八章：纲遁,「都市·异术超能」,2015,10,8
4,终归谎言,153.19,剑佛,第五百四十七章【九剑归一！】（大结局）,「仙侠·幻想修仙」,2015,3,30
5,古月天龙,153.06,逐鹿天庭,第562章九重天宫，记得吗（全文完）,「仙侠·现代修真」,2017,4,1
6,酒渐浓,153.02,APP大师,第九十五章大结局（十三）,「都市·异术超能」,2016,8,1
7,武林贱侠,152.99,异界之位面商人,第三百零一章结局,「仙侠·幻想修仙」,2010,4,6
8,滴水淹城,152.96,地府神职,第五百三十六章大隐隐于市（大结局）,「都市·异术超能」,2015,1,5
9,竹上猪猪,152.96,时空棋局,五把零五章始与终,「科幻·未来世界」,2017,9,1
10,轻夜流星,152.89,三国钉子户,新书：疯狂的飞碟,「历史·秦汉三国」,2013,12,24
11,秒速九光年,152.87,逆杀神魔,新书【超级基因装甲】今日开始连载,「玄幻·东方玄幻」,2016,10,13
12,飞过天空,152.84,汉兵,第三百三十九章，千年帝国（大结局）,「历史·架空历史」,2011,2,28
13,半堕落的恶魔,152.83,大唐御医,后记,「历史·两晋隋唐」,2009,6,2
14,沙风弥城,152.7,西游却东行,尾声,「仙侠·神话修真」,2015,2,27
15,狮子歌歌,152.7,文娱鼻祖,推荐新书《打造文娱》,「都市·都市生活」,2018,4,2
16,众神,152.68,大荒武神,第四百三十一章命运之道（大结局）,「玄幻·东方玄幻」,2014,3,17
17,二二卑斯,152.65,一品唐,第七百章终篇,「历史·两晋隋唐」,2016,8,4
18,贼道三痴,152.64,上品寒士,新书《丹朱》上传，请书友们支持,「历史·两晋隋唐」,2011,4,28
19,武夜,152.59,仙之机甲,后记,「科幻·古武机甲」,2007,2,22
20,七尺居士0,152.56,废土法则,后记,「游戏·虚拟网游」,2014,2,7
21,风殇雪胤,152.49,逐鹿之召唤猛将,新书《执剑诸天》已发布，希望诸位兄弟捧场,「历史·架空历史」,2017,3,13
22,枉为鼠,152.47,网游之女主工作室,第446章大结局,「游戏·虚拟网游」,2011,4,26
23,朱四弟,152.44,球王拓荒纪,第421章辉煌与传承（大结局）,「体育·足球运动」,2018,8,13
